"a","b","abs_diff","mean_ab","response"
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,0
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
11,10,1,10.5,1
12,10,2,11,1
12,10,2,11,0
12,10,2,11,0
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,0
12,10,2,11,0
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,0
12,10,2,11,0
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,0
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
12,10,2,11,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,0
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,1
15,10,5,12.5,0
15,10,5,12.5,1
15,10,5,12.5,1
