"","a","b","abs_diff","mean_ab","response","N"
"1",3.961403777,15.96833773,12.006933953,9.9648707535,0.8,10
"2",9.845072089,18.05804749,8.212975401,13.9515597895,0.8,10
"3",13.72900495,22.0474934,8.31848845,17.888249175,0.76,10
"4",17.70792462,26.03693931,8.32901469,21.872431965,0.86,10
"5",15.80267472,28.12664908,12.32397436,21.9646619,0.86,10
"6",21.97180471,30.02638522,8.05458051,25.999094965,0.9,10
"7",26.04596181,33.92084433,7.87488252,29.98340307,0.97,10
"8",27.83492178,39.90501319,12.07009141,33.869967485,0.92,10
"9",15.96132024,4,11.96132024,9.98066012,0.96,10
"10",17.74977896,10.17414248,7.57563648,13.96196072,0.9,10
"11",21.91892287,14.06860158,7.85032129,17.993762225,0.89,10
"12",27.89807924,15.96833773,11.92974151,21.933208485,0.86,10
"13",25.99307997,17.96306069,8.03001928,21.97807033,0.77,10
"14",29.87676221,22.0474934,7.82926881,25.962127805,0.79,10
"15",33.76094569,25.94195251,7.81899318,29.8514491,0.78,10
"16",39.54987782,27.93667546,11.61320236,33.74327664,0.79,10
