"a","b","abs_diff","mean_ab","response","N"
47.94,46.06,1.88,47,0.674883721,40
48.88,45.12,3.76000000000001,47,0.574418605,40
49.82,44.18,5.64,47,0.701395349,40
53.11,40.89,12.22,47,0.676271548,40
54.99,39.01,15.98,47,0.799069767,40
56.87,37.13,19.74,47,0.924651163,40
59.69,34.31,25.38,47,0.974883721,40
62.98,31.02,31.96,47,0.974883721,40
47.94,46.06,1.88,47,0.575813953,40
48.88,45.12,3.76000000000001,47,0.700424998,40
49.82,44.18,5.64,47,0.801683696,40
53.11,40.89,12.22,47,0.675342569,40
54.99,39.01,15.98,47,0.900155457,40
56.87,37.13,19.74,47,0.876002006,40
59.69,34.31,25.38,47,0.975402746,40
62.98,31.02,31.96,47,0.926166865,40
47.94,46.06,1.88,47,0.50069454,40
48.88,45.12,3.76000000000001,47,0.62517771,40
49.82,44.18,5.64,47,0.775672287,40
53.11,40.89,12.22,47,0.774743308,40
54.99,39.01,15.98,47,0.951249295,40
56.87,37.13,19.74,47,0.925237886,40
59.69,34.31,25.38,47,0.999556196,40
62.98,31.02,31.96,47,0.949391337,40
