"a","b","abs_diff","mean_ab","response","N"
10,20,10,15,0.5465252177,1200
10,100,90,55,0.5723820409,1200
10,160,150,85,0.7242679373,1200
10,240,230,125,0.8005151403,1200
10,320,310,165,0.8389671437,1200
10,20,10,15,0.5512820513,1200
10,100,90,55,0.5717948718,1200
10,160,150,85,0.7025641026,1200
10,240,230,125,0.8230769231,1200
10,320,310,165,0.8641025641,1200
10,20,10,15,0.5528527939,1200
10,100,90,55,0.5420210154,1200
10,160,150,85,0.7175390356,1200
10,240,230,125,0.8088284396,1200
10,320,310,165,0.8771285476,1200
