"a","b","abs_diff","mean_ab","N","response"
14,22,8,18,12,0.822309929
16,22,6,19,12,0.741649356
18,22,4,20,12,0.513772331
20,22,2,21,12,0.509991691
24,22,2,23,12,0.671217319
26,22,4,24,12,0.901372085
28,22,6,25,12,0.921848099
30,22,8,26,12,0.94012134
14,22,8,18,22,0.826054263
16,22,6,19,22,0.8100115
18,22,4,20,22,0.56648772
20,22,2,21,22,0.532601135
24,22,2,23,22,0.644423882
26,22,4,24,22,0.86567059
28,22,6,25,22,0.881713353
30,22,8,26,22,0.875437487
14,22,8,18,10,0.837206651
16,22,6,19,10,0.816716785
18,22,4,20,10,0.664628737
20,22,2,21,10,0.704334064
24,22,2,23,10,0.526222418
26,22,4,24,10,0.767557277
28,22,6,25,10,0.803632783
30,22,8,26,10,0.788448858
14,22,8,18,15,0.851491994
16,22,6,19,15,0.658717355
18,22,4,20,15,0.465979591
20,22,2,21,15,0.547543764
24,22,2,23,15,0.700799233
26,22,4,24,15,0.774076088
28,22,6,25,15,0.83410614
30,22,8,26,15,0.933941131
14,22,8,18,24,0.824933858
16,22,6,19,24,0.815789231
18,22,4,20,24,0.68721135
20,22,2,21,24,0.565252261
24,22,2,23,24,0.667613086
26,22,4,24,24,0.720987472
28,22,6,25,24,0.827450474
30,22,8,26,24,0.898542575
14,22,8,18,9,0.900155791
16,22,6,19,9,0.811382848
18,22,4,20,9,0.64261963
20,22,2,21,9,0.720111727
24,22,2,23,9,0.499469943
26,22,4,24,9,0.64576554
28,22,6,25,9,0.597359858
30,22,8,26,9,0.703841296
14,22,8,18,42,0.788888889
16,22,6,19,42,0.746666667
18,22,4,20,42,0.431111111
20,22,2,21,42,0.642222222
24,22,2,23,42,0.611111111
26,22,4,24,42,0.875555556
28,22,6,25,42,0.917777778
30,22,8,26,42,0.844444444
14,22,8,18,77,0.851111111
16,22,6,19,77,0.848888889
18,22,4,20,77,0.555555556
20,22,2,21,77,0.684444444
24,22,2,23,77,0.564444444
26,22,4,24,77,0.804444444
28,22,6,25,77,0.851111111
30,22,8,26,77,0.833333333
14,22,8,18,35,0.886666667
16,22,6,19,35,0.884444444
18,22,4,20,35,0.677777778
20,22,2,21,35,0.828888889
24,22,2,23,35,0.371111111
26,22,4,24,35,0.66
28,22,6,25,35,0.673333333
30,22,8,26,35,0.693333333
14,22,8,18,52,0.804008909
16,22,6,19,52,0.625835189
18,22,4,20,52,0.521158129
20,22,2,21,52,0.501113586
24,22,2,23,52,0.706013363
26,22,4,24,52,0.76169265
28,22,6,25,52,0.821826281
30,22,8,26,52,0.881959911
14,22,8,18,90,0.861915367
16,22,6,19,90,0.779510022
18,22,4,20,90,0.679287305
20,22,2,21,90,0.583518931
24,22,2,23,90,0.579064588
26,22,4,24,90,0.674832962
28,22,6,25,90,0.797327394
30,22,8,26,90,0.85077951
14,22,8,18,38,0.886414254
16,22,6,19,38,0.868596882
18,22,4,20,38,0.804008909
20,22,2,21,38,0.770601336
24,22,2,23,38,0.391982183
26,22,4,24,38,0.585746102
28,22,6,25,38,0.521158129
30,22,8,26,38,0.681514477
