"a","b","abs_diff","mean_ab","response","N"
90,80,10,85,0.5422037422,270
90,70,20,80,0.4935550936,270
90,60,30,75,0.5459459459,270
90,50,40,70,0.5896049896,270
90,40,50,65,0.6731808732,270
90,30,60,60,0.7405405405,270
90,20,70,55,0.8378378378,270
90,10,80,50,0.8864864865,270
90,80,10,85,0.5721413721,270
90,70,20,80,0.627027027,270
90,60,30,75,0.6195426195,270
90,50,40,70,0.7305613306,270
90,40,50,65,0.7455301455,270
90,30,60,60,0.7991683992,270
90,20,70,55,0.8927234927,270
90,10,80,50,0.9288981289,270
90,80,10,85,0.5197505198,270
90,70,20,80,0.5896049896,270
90,60,30,75,0.6295218295,270
90,50,40,70,0.6856548857,270
90,40,50,65,0.7604989605,270
90,30,60,60,0.7941787942,270
90,20,70,55,0.9064449064,270
90,10,80,50,0.9288981289,270
90,80,10,85,0.53,270
90,70,20,80,0.565,270
90,60,30,75,0.60625,270
90,50,40,70,0.68125,270
90,40,50,65,0.68625,270
90,30,60,60,0.7725,270
90,20,70,55,0.82,270
90,10,80,50,0.85125,270
