"a","b","abs_diff","mean_ab","response","N"
40,1.06059252,38.93940748,20.53029626,0.715929204,500
40,3.106021,36.893979,21.5530105,0.686430678,500
40,5.07569284,34.92430716,22.53784642,0.684070796,500
40,10.07562908,29.92437092,25.03781454,0.626253687,500
40,15.07556532,24.92443468,27.53778266,0.595575221,500
40,20.07550152,19.92449848,30.03775076,0.579056047,500
40,25.07543776,14.92456224,32.53771888,0.52359882,500
40,30.075374,9.924626,35.037687,0.534218289,500
40,34.99955364,5.00044636,37.49977682,0.494100295,500
20,0.98483592,19.01516408,10.49241796,0.656932153,500
20,3.06814268,16.93185732,11.53407134,0.609734513,500
20,4.99993624,15.00006376,12.49996812,0.607374631,500
20,10.03775076,9.96224924,15.01887538,0.561356932,500
20,14.9998087,5.0001913,17.49990435,0.533038348,500
