"a","b","abs_diff","mean_ab","response","N"
20,8,12,14,0.985,200
20,12.5,7.5,16.25,0.965,200
20,13.3,6.7,16.65,0.98,200
20,13.8,6.2,16.9,0.86,200
20,16,4,18,0.885,200
20,17,3,18.5,0.52,200
20,18.6,1.4,19.3,0.58,200
20,20,0,20,0.555,200
20,21.5,1.5,20.75,0.59,200
20,23.5,3.5,21.75,0.775,200
20,25,5,22.5,0.775,200
20,29,9,24.5,0.925,200
20,30,10,25,0.865,200
20,32,12,26,0.935,200
20,50,30,35,0.975,200
20,8,12,14,0.93,200
20,12.5,7.5,16.25,0.9,200
20,13.3,6.7,16.65,0.9,200
20,13.8,6.2,16.9,0.895,200
20,16,4,18,0.55,200
20,17,3,18.5,0.55,200
20,18.6,1.4,19.3,0.495,200
20,20,0,20,0.53,200
20,21.5,1.5,20.75,0.535,200
20,23.5,3.5,21.75,0.485,200
20,25,5,22.5,0.605,200
20,29,9,24.5,0.66,200
20,30,10,25,0.765,200
20,32,12,26,0.875,200
20,50,30,35,0.76,200
20,8,12,14,0.94,200
20,12.5,7.5,16.25,0.925,200
20,13.3,6.7,16.65,0.885,200
20,13.8,6.2,16.9,0.9,200
20,16,4,18,0.635,200
20,17,3,18.5,0.555,200
20,18.6,1.4,19.3,0.55,200
20,20,0,20,0.485,200
20,21.5,1.5,20.75,0.495,200
20,23.5,3.5,21.75,0.73,200
20,25,5,22.5,0.685,200
20,29,9,24.5,0.85,200
20,30,10,25,0.725,200
20,32,12,26,0.66,200
20,50,30,35,0.815,200
20,8,12,14,0.915,200
20,12.5,7.5,16.25,0.865,200
20,13.3,6.7,16.65,0.765,200
20,13.8,6.2,16.9,0.86,200
20,16,4,18,0.715,200
20,17,3,18.5,0.645,200
20,18.6,1.4,19.3,0.57,200
20,20,0,20,0.635,200
20,21.5,1.5,20.75,0.49,200
20,23.5,3.5,21.75,0.515,200
20,25,5,22.5,0.645,200
20,29,9,24.5,0.71,200
20,30,10,25,0.69,200
20,32,12,26,0.67,200
20,8,12,14,0.915,200
20,12.5,7.5,16.25,0.96,200
20,13.3,6.7,16.65,0.94,200
20,13.8,6.2,16.9,0.945,200
20,16,4,18,0.63,200
20,17,3,18.5,0.825,200
20,18.6,1.4,19.3,0.48,200
20,20,0,20,0.47,200
20,21.5,1.5,20.75,0.425,200
20,23.5,3.5,21.75,0.585,200
20,25,5,22.5,0.635,200
20,29,9,24.5,0.695,200
20,30,10,25,0.635,200
20,32,12,26,0.565,200
20,50,30,35,0.89,200
20,8,12,14,0.96,200
20,12.5,7.5,16.25,0.965,200
20,13.3,6.7,16.65,0.95,200
20,13.8,6.2,16.9,0.975,200
20,16,4,18,0.9,200
20,17,3,18.5,0.91,200
20,18.6,1.4,19.3,0.79,200
20,20,0,20,0.495,200
20,21.5,1.5,20.75,0.825,200
20,23.5,3.5,21.75,0.51,200
20,25,5,22.5,0.97,200
20,29,9,24.5,0.95,200
20,30,10,25,0.73,200
20,32,12,26,0.985,200
20,50,30,35,0.87,200
