"a","b","abs_diff","mean_ab","response","N"
50,35,15,42.5,0.6560847,189
45,30,15,37.5,0.5275229,218
40,25,15,32.5,0.71875,192
35,20,15,27.5,0.6926606,218
30,15,15,22.5,0.9318182,220
25,10,15,17.5,0.9158878,107
20,5,15,12.5,0.9587302,315
50,45,5,47.5,0.4545455,44
45,40,5,42.5,0.5714286,14
40,35,5,37.5,0.5844156,77
35,30,5,32.5,0.5,50
30,25,5,27.5,0.5285714,70
25,20,5,22.5,0.58,100
20,15,5,17.5,0.64,25
15,10,5,12.5,0.7272727,44
50,35,15,42.5,0.2573529,136
40,25,15,32.5,0.7724551,167
35,20,15,27.5,0.7844311,167
30,15,15,22.5,0.8707483,147
25,10,15,17.5,0.9716981,106
20,5,15,12.5,0.942029,199
50,45,5,47.5,0.4716981,62
45,40,5,42.5,0.425,80
40,35,5,37.5,0.7093023,86
35,30,5,32.5,0.5130435,115
25,20,5,22.5,0.5479452,146
20,15,5,17.5,0.7704918,122
15,10,5,12.5,0.8241206,199
10,5,5,7.5,0.9765625,384
50,35,15,42.5,0.573991,223
45,30,15,37.5,0.5652174,184
40,25,15,32.5,0.673913,230
35,20,15,27.5,0.6320225,356
30,15,15,22.5,0.949807,259
25,10,15,17.5,0.9230769,208
20,5,15,12.5,0.9674419,430
35,30,5,32.5,0.777027,148
50,35,15,42.5,0.6696429,112
45,30,15,37.5,0.5,112
40,25,15,32.5,0.6344086,93
35,20,15,27.5,0.625,32
30,15,15,22.5,0.9514563,206
25,10,15,17.5,0.9725275,182
20,5,15,12.5,0.9607843,357
50,45,5,47.5,0.4117647,17
45,40,5,42.5,0.3673469,49
40,35,5,37.5,0.605042,119
35,30,5,32.5,0.447619,105
25,20,5,22.5,0.6806084,263
15,10,5,12.5,0.7958656,387
50,35,15,42.5,0.6565657,198
45,30,15,37.5,0.48125,160
40,25,15,32.5,0.6306306,222
35,20,15,27.5,0.5473684,285
30,15,15,22.5,0.8602941,272
20,5,15,12.5,0.9859944,357
50,45,5,47.5,0.6153846,13
45,40,5,42.5,0.2,30
40,35,5,37.5,0.5666667,30
35,30,5,32.5,0.4525862,232
30,25,5,27.5,0.6723404,235
25,20,5,22.5,0.59447,217
20,15,5,17.5,0.3157895,19
15,10,5,12.5,1,94
10,5,5,7.5,0.9907407,864
50,35,15,42.5,0.5916667,120
45,30,15,37.5,0.4504505,111
40,25,15,32.5,0.5223881,201
35,20,15,27.5,0.5374449,227
30,15,15,22.5,0.972973,111
25,10,15,17.5,0.9590909,220
20,5,15,12.5,0.9813084,214
50,45,5,47.5,0.5652174,23
45,40,5,42.5,0.4883721,43
35,30,5,32.5,0.7,70
30,25,5,27.5,0.3606557,61
25,20,5,22.5,0.6551724,29
10,5,5,7.5,0.8181818,33
50,35,15,42.5,0.7068966,58
45,30,15,37.5,0.4444444,81
40,25,15,32.5,0.4375,64
35,20,15,27.5,0.8181818,99
30,15,15,22.5,1,138
25,10,15,17.5,1,163
50,35,15,42.5,0.7264957,117
45,30,15,37.5,0.5526316,76
40,25,15,32.5,0.5882353,102
35,20,15,27.5,0.6902655,113
30,15,15,22.5,0.9929078,141
25,10,15,17.5,0.9931507,146
20,5,15,12.5,0.9911504,226
50,45,5,47.5,0.5375,80
40,35,5,37.5,0.5656566,99
35,30,5,32.5,0.6603774,53
25,20,5,22.5,0.556338,142
20,15,5,17.5,0.5288462,104
15,10,5,12.5,0.8918919,111
10,5,5,7.5,0.9166667,24
50,35,15,42.5,0.6014493,138
40,25,15,32.5,0.8474576,177
35,20,15,27.5,0.7407407,189
30,15,15,22.5,0.9852217,203
25,10,15,17.5,0.989418,189
20,5,15,12.5,0.9929078,282
50,45,5,47.5,0.3709677,62
45,40,5,42.5,0.5943396,106
40,35,5,37.5,0.5297619,168
35,30,5,32.5,0.4817073,164
25,20,5,22.5,0.5733333,300
20,15,5,17.5,0.2485549,173
15,10,5,12.5,0.9548872,266
10,5,5,7.5,0.8928571,28
50,35,15,42.5,0.6447368,76
45,30,15,37.5,0.4197531,81
40,25,15,32.5,0.6461538,65
