"a","b","abs_diff","mean_ab","response","N"
8.26,8.26,0,8.26,0.525,120
11.43,5.04,6.39,8.235,0.815,120
14.53,1.74,12.79,8.135,0.95,120
16.05,16.05,0,16.05,0.49,120
19.06,12.98,6.08,16.02,0.59,120
22,9.85,12.15,15.925,0.805,120
24.88,6.66,18.22,15.77,0.955,120
23.45,23.45,0,23.45,0.515,120
26.3,20.54,5.76,23.42,0.6,120
29.08,17.56,11.52,23.32,0.755,120
31.8,14.53,17.27,23.165,0.915,120
30.45,30.45,0,30.45,0.5,120
33.14,27.7,5.44,30.42,0.6,120
35.77,24.88,10.89,30.325,0.705,120
38.33,22,16.33,30.165,0.885,120
37.06,37.06,0,37.06,0.5,120
39.59,34.46,5.13,37.025,0.595,120
42.05,31.8,10.25,36.925,0.75,120
44.46,29.08,15.38,36.77,0.875,120
43.26,43.26,0,43.26,0.49,120
45.64,40.83,4.81,43.235,0.585,120
47.95,38.33,9.62,43.14,0.715,120
50.19,35.77,14.42,42.98,0.85,120
49.08,49.08,0,49.08,0.515,120
51.29,46.8,4.49,49.045,0.58,120
53.44,44.46,8.98,48.95,0.68,120
55.53,42.05,13.48,48.79,0.845,120
