"a","b","abs_diff","mean_ab","response","N"
6.66,4.92,1.74,5.79,0.87,100
8.26,6.52,1.74,7.39,0.8,100
9.85,8.11,1.74,8.98,0.89,100
11.43,9.69,1.74,10.56,0.793,100
12.98,11.24,1.74,12.11,0.677,100
14.53,12.79,1.74,13.66,0.68,100
16.05,14.31,1.74,15.18,0.588,100
17.56,15.82,1.74,16.69,0.43,100
9.85,6.45,3.4,8.15,0.97,100
12.98,9.58,3.4,11.28,0.84,100
16.05,12.65,3.4,14.35,0.755,100
19.06,15.66,3.4,17.36,0.68,100
22,18.6,3.4,20.3,0.57,100
24.88,21.48,3.4,23.18,0.56,100
27.7,24.3,3.4,26,0.58,100
16.05,9.39,6.66,12.72,0.93,100
19.06,12.4,6.66,15.73,0.78,100
22,15.34,6.66,18.67,0.78,100
24.88,18.22,6.66,21.55,0.78,100
27.7,21.04,6.66,24.37,0.623,100
30.45,23.79,6.66,27.12,0.665,100
33.14,26.48,6.66,29.81,0.593,100
