"a","b","abs_diff","mean_ab","response"
52,60.6,8.6,56.3,0
43,60.6,17.6,51.8,0
69,60.6,8.4,64.8,37.5
77,60.6,16.4,68.8,55
43,60.6,17.6,51.8,0
69,60.6,8.4,64.8,115
52,60.6,8.6,56.3,33
77,60.6,16.4,68.8,65
52,60.6,8.6,56.3,121
69,60.6,8.4,64.8,35
43,60.6,17.6,51.8,-111
77,60.6,16.4,68.8,-27
52,60.6,8.6,56.3,0
69,60.6,8.4,64.8,99
43,60.6,17.6,51.8,110
77,60.6,16.4,68.8,-25
69,60.6,8.4,64.8,55
43,60.6,17.6,51.8,26
77,60.6,16.4,68.8,-89
52,60.6,8.6,56.3,44
52,60.6,8.6,56.3,58
69,60.6,8.4,64.8,67
43,60.6,17.6,51.8,-5
77,60.6,16.4,68.8,-93
77,60.6,16.4,68.8,0
43,60.6,17.6,51.8,0
69,60.6,8.4,64.8,66
52,60.6,8.6,56.3,-88
69,60.6,8.4,64.8,9
52,60.6,8.6,56.3,-91
77,60.6,16.4,68.8,-122
43,60.6,17.6,51.8,-57
69,60.6,8.4,64.8,0
77,60.6,16.4,68.8,-132
43,60.6,17.6,51.8,-189
52,60.6,8.6,56.3,-117
43,60.6,17.6,51.8,0
69,60.6,8.4,64.8,-44
77,60.6,16.4,68.8,-35
52,60.6,8.6,56.3,-131
52,60.6,8.6,56.3,0
69,60.6,8.4,64.8,88
43,60.6,17.6,51.8,42
77,60.6,16.4,68.8,-98
43,60.6,17.6,51.8,0
69,60.6,8.4,64.8,213
52,60.6,8.6,56.3,90
77,60.6,16.4,68.8,-30
69,60.6,8.4,64.8,245
52,60.6,8.6,56.3,55
77,60.6,16.4,68.8,-87
43,60.6,17.6,51.8,-121
69,60.6,8.4,64.8,274
52,60.6,8.6,56.3,56
77,60.6,16.4,68.8,-13
43,60.6,17.6,51.8,42
77,60.6,16.4,68.8,0
52,60.6,8.6,56.3,51
69,60.6,8.4,64.8,73
43,60.6,17.6,51.8,-268
77,60.6,16.4,68.8,0
43,60.6,17.6,51.8,38
69,60.6,8.4,64.8,57
52,60.6,8.6,56.3,43
77,60.6,16.4,68.8,0
69,60.6,8.4,64.8,68
52,60.6,8.6,56.3,-67
43,60.6,17.6,51.8,-42
52,60.6,8.6,56.3,0
69,60.6,8.4,64.8,-98
43,60.6,17.6,51.8,-67
77,60.6,16.4,68.8,-28
69,60.6,8.4,64.8,65
77,60.6,16.4,68.8,-27
43,60.6,17.6,51.8,76
52,60.6,8.6,56.3,-17
69,60.6,8.4,64.8,110
77,60.6,16.4,68.8,-205
43,60.6,17.6,51.8,13
52,60.6,8.6,56.3,-73
69,60.6,8.4,64.8,144
52,60.6,8.6,56.3,35
77,60.6,16.4,68.8,69
43,60.6,17.6,51.8,-38
77,60.6,16.4,68.8,0
69,60.6,8.4,64.8,55
52,60.6,8.6,56.3,27
43,60.6,17.6,51.8,29
77,60.6,16.4,68.8,0
43,60.6,17.6,51.8,0
69,60.6,8.4,64.8,49
52,60.6,8.6,56.3,-125
69,60.6,8.4,64.8,-124
43,60.6,17.6,51.8,-163
52,60.6,8.6,56.3,-241
77,60.6,16.4,68.8,-49
43,60.6,17.6,51.8,-233
69,60.6,8.4,64.8,-46
77,60.6,16.4,68.8,74
52,60.6,8.6,56.3,104
52,60.6,8.6,56.3,-25
77,60.6,16.4,68.8,34
43,60.6,17.6,51.8,38
69,60.6,8.4,64.8,-112
43,60.6,17.6,51.8,-194
52,60.6,8.6,56.3,33
69,60.6,8.4,64.8,-100
77,60.6,16.4,68.8,-53
69,60.6,8.4,64.8,-116
77,60.6,16.4,68.8,-102
43,60.6,17.6,51.8,-90
52,60.6,8.6,56.3,-146
69,60.6,8.4,64.8,236
43,60.6,17.6,51.8,-112
52,60.6,8.6,56.3,-137
77,60.6,16.4,68.8,-61
69,60.6,8.4,64.8,-65
52,60.6,8.6,56.3,78
77,60.6,16.4,68.8,-108
43,60.6,17.6,51.8,65
