"a","b","abs_diff","mean_ab","response"
43,60.6,17.6,51.8,-142.54
77,60.6,16.4,68.8,-209.43
52,60.6,8.6,56.3,225.84
69,60.6,8.4,64.8,3054.21
52,60.6,8.6,56.3,-520.56
43,60.6,17.6,51.8,729.3
77,60.6,16.4,68.8,666.4
69,60.6,8.4,64.8,2135.06
43,60.6,17.6,51.8,-835.64
77,60.6,16.4,68.8,2523.69
69,60.6,8.4,64.8,1835.64
52,60.6,8.6,56.3,-176.32
43,60.6,17.6,51.8,-666.4
52,60.6,8.6,56.3,-271.68
69,60.6,8.4,64.8,3068.4
77,60.6,16.4,68.8,1102.36
52,60.6,8.6,56.3,-243.64
77,60.6,16.4,68.8,-1213.44
43,60.6,17.6,51.8,-171.23
69,60.6,8.4,64.8,-124.61
52,60.6,8.6,56.3,690.05
77,60.6,16.4,68.8,413.32
69,60.6,8.4,64.8,2535.64
43,60.6,17.6,51.8,284.71
77,60.6,16.4,68.8,450.61
43,60.6,17.6,51.8,-321.5
52,60.6,8.6,56.3,268.4
69,60.6,8.4,64.8,1058.3
77,60.6,16.4,68.8,869.7
69,60.6,8.4,64.8,1058.6
43,60.6,17.6,51.8,-413.32
52,60.6,8.6,56.3,-856.6
43,60.6,17.6,51.8,-413.5
77,60.6,16.4,68.8,2635.51
52,60.6,8.6,56.3,-135.64
69,60.6,8.4,64.8,1590.06
52,60.6,8.6,56.3,-15.61
69,60.6,8.4,64.8,1467.4
43,60.6,17.6,51.8,-1995.4
77,60.6,16.4,68.8,-271.32
77,60.6,16.4,68.8,2121.95
52,60.6,8.6,56.3,-63.81
43,60.6,17.6,51.8,979.84
69,60.6,8.4,64.8,209.43
43,60.6,17.6,51.8,98.99
52,60.6,8.6,56.3,-2289.36
69,60.6,8.4,64.8,2171.23
77,60.6,16.4,68.8,45.62
69,60.6,8.4,64.8,280.75
43,60.6,17.6,51.8,230.99
77,60.6,16.4,68.8,701.67
52,60.6,8.6,56.3,-88.54
77,60.6,16.4,68.8,-97.82
52,60.6,8.6,56.3,-145.62
43,60.6,17.6,51.8,-2894.17
69,60.6,8.4,64.8,1275.2
43,60.6,17.6,51.8,-649.5
69,60.6,8.4,64.8,171.68
52,60.6,8.6,56.3,-174.19
77,60.6,16.4,68.8,3120.56
77,60.6,16.4,68.8,28.63
43,60.6,17.6,51.8,59.21
69,60.6,8.4,64.8,1068.4
52,60.6,8.6,56.3,-1569.66
77,60.6,16.4,68.8,918.61
43,60.6,17.6,51.8,113.41
52,60.6,8.6,56.3,-1289.93
69,60.6,8.4,64.8,1269.58
43,60.6,17.6,51.8,271.32
69,60.6,8.4,64.8,2764.89
52,60.6,8.6,56.3,41.31
77,60.6,16.4,68.8,321.5
52,60.6,8.6,56.3,-1102.36
69,60.6,8.4,64.8,1842.54
77,60.6,16.4,68.8,760.48
43,60.6,17.6,51.8,-1040.52
77,60.6,16.4,68.8,-972.6
69,60.6,8.4,64.8,-271.54
52,60.6,8.6,56.3,-2715.18
43,60.6,17.6,51.8,271.32
69,60.6,8.4,64.8,982.12
52,60.6,8.6,56.3,-869.7
43,60.6,17.6,51.8,-729.3
77,60.6,16.4,68.8,684.75
43,60.6,17.6,51.8,112.69
52,60.6,8.6,56.3,-1635.84
77,60.6,16.4,68.8,153.64
69,60.6,8.4,64.8,1146.5
77,60.6,16.4,68.8,-236.58
43,60.6,17.6,51.8,-148.9
69,60.6,8.4,64.8,868.64
52,60.6,8.6,56.3,-396.78
69,60.6,8.4,64.8,-68.3
77,60.6,16.4,68.8,-1128.6
52,60.6,8.6,56.3,-416.95
43,60.6,17.6,51.8,867.92
52,60.6,8.6,56.3,-55.47
77,60.6,16.4,68.8,996.47
43,60.6,17.6,51.8,-1156.84
69,60.6,8.4,64.8,843.31
77,60.6,16.4,68.8,231.46
43,60.6,17.6,51.8,-1245.9
52,60.6,8.6,56.3,-123.2
69,60.6,8.4,64.8,645.96
43,60.6,17.6,51.8,-134.87
69,60.6,8.4,64.8,2429.66
52,60.6,8.6,56.3,-1063.5
77,60.6,16.4,68.8,1123.96
43,60.6,17.6,51.8,-3054.21
69,60.6,8.4,64.8,2135.06
77,60.6,16.4,68.8,1105.14
52,60.6,8.6,56.3,-425.84
69,60.6,8.4,64.8,3054.21
43,60.6,17.6,51.8,-2135.06
52,60.6,8.6,56.3,-1105.14
77,60.6,16.4,68.8,425.84
52,60.6,8.6,56.3,-554.95
77,60.6,16.4,68.8,-976.5
43,60.6,17.6,51.8,-1138.24
69,60.6,8.4,64.8,3054.21
