"a","b","abs_diff","mean_ab","response","N"
280,400,120,340,0.6493,1
280,400,120,340,0.6434,1
280,400,120,340,0.585,1
280,400,120,340,0.653,1
280,400,120,340,0.638,1
280,400,120,340,0.692,1
280,400,120,340,0.6732,1
280,400,120,340,0.6831,1
280,400,120,340,0.693,1
280,400,120,340,0.672,1
280,400,120,340,0.694,1
280,400,120,340,0.632,1
280,400,120,340,0.642,1
120,180,60,150,0.7111,1
120,180,60,150,0.6784,1
120,180,60,150,0.707,1
120,180,60,150,0.6917,1
120,180,60,150,0.693,1
120,180,60,150,0.732,1
120,180,60,150,0.708,1
120,180,60,150,0.7293,1
120,180,60,150,0.6932,1
120,180,60,150,0.6932,1
120,180,60,150,0.6825,1
120,180,60,150,0.7213,1
120,180,60,150,0.6532,1
120,180,60,150,0.637,1
120,180,60,150,0.695,1
180,400,220,290,0.7892,1
180,400,220,290,0.8271,1
180,400,220,290,0.793,1
180,400,220,290,0.821,1
180,400,220,290,0.753,1
180,400,220,290,0.792,1
180,400,220,290,0.801,1
180,400,220,290,0.7525,1
180,400,220,290,0.732,1
180,400,220,290,0.773,1
180,400,220,290,0.793,1
180,400,220,290,0.75,1
180,400,220,290,0.739,1
120,280,160,200,0.7354,1
120,280,160,200,0.7778,1
120,280,160,200,0.8476,1
120,280,160,200,0.8112,1
120,280,160,200,0.792,1
120,280,160,200,0.823,1
120,280,160,200,0.831,1
120,280,160,200,0.785,1
120,280,160,200,0.812,1
120,280,160,200,0.822,1
120,280,160,200,0.7733,1
120,280,160,200,0.811,1
120,280,160,200,0.784,1
120,280,160,200,0.7532,1
120,280,160,200,0.7932,1
120,280,160,200,0.784,1
120,280,160,200,0.7532,1
120,280,160,200,0.734,1
120,400,280,260,0.8514,1
120,400,280,260,0.798,1
120,400,280,260,0.8831,1
120,400,280,260,0.9444,1
120,400,280,260,0.9241,1
120,400,280,260,0.8507,1
120,400,280,260,0.893,1
120,400,280,260,0.869,1
120,400,280,260,0.905,1
120,400,280,260,0.852,1
120,400,280,260,0.932,1
120,400,280,260,0.842,1
120,400,280,260,0.903,1
120,400,280,260,0.9632,1
120,400,280,260,0.8731,1
120,400,280,260,0.8313,1
120,400,280,260,0.8938,1
120,400,280,260,0.853,1
120,400,280,260,0.903,1
120,400,280,260,0.8931,1
120,400,280,260,0.813,1
120,400,280,260,0.853,1
120,400,280,260,0.904,1
120,400,280,260,0.873,1
120,400,280,260,0.763,1
120,400,280,260,0.85,1
120,400,280,260,0.83,1
120,400,280,260,0.824,1
