"a","b","abs_diff","mean_ab","response","N"
10,20,10,15,0.590029326,120
10,40,30,25,0.75542522,120
10,80,70,45,0.852199413,120
10,160,150,85,0.894428152,120
10,320,310,165,0.908504399,120
10,20,10,15,0.614662757,120
10,40,30,25,0.744868035,120
10,80,70,45,0.815249267,120
10,160,150,85,0.857478006,120
10,320,310,165,0.852199413,120
10,20,10,15,0.641399417,120
10,40,30,25,0.730612245,120
10,80,70,45,0.786588921,120
10,160,150,85,0.814577259,120
10,320,310,165,0.867055394,120
10,20,10,15,0.588603026,120
10,40,30,25,0.757884274,120
10,80,70,45,0.857011889,120
10,160,150,85,0.89999807,120
10,320,310,165,0.913159114,120
10,20,10,15,0.613907012,120
10,40,30,25,0.747933933,120
10,80,70,45,0.812707929,120
10,160,150,85,0.863304532,120
10,320,310,165,0.853547287,120
10,20,10,15,0.636842105,120
10,40,30,25,0.729824561,120
10,80,70,45,0.787719298,120
10,160,150,85,0.814035088,120
10,320,310,165,0.866666667,120
10,20,10,15,0.592241438,120
10,40,30,25,0.758061039,120
10,80,70,45,0.855282911,120
10,160,150,85,0.897954031,120
10,320,310,165,0.91422662,120
10,20,10,15,0.614662757,120
10,40,30,25,0.746627566,120
10,80,70,45,0.815249267,120
10,160,150,85,0.859237537,120
10,320,310,165,0.855718475,120
10,20,10,15,0.636151603,120
10,40,30,25,0.728862974,120
10,80,70,45,0.78483965,120
10,160,150,85,0.812827988,120
10,320,310,165,0.867055394,120
