"a","b","abs_diff","mean_ab","response","N"
10,18,8,14,0.84,10
14,22,8,18,0.87,10
18,26,8,22,0.91,10
22,30,8,26,0.96,10
26,34,8,30,0.98,10
18,10,8,14,0.97,10
22,14,8,18,0.91,10
26,18,8,22,0.95,10
30,22,8,26,0.93,10
34,26,8,30,0.87,10
10,18,8,14,0.84,10
14,22,8,18,0.85,10
18,26,8,22,0.91,10
22,30,8,26,0.92,10
26,34,8,30,0.95,10
18,10,8,14,0.94,10
22,14,8,18,0.85,10
26,18,8,22,0.95,10
30,22,8,26,0.89,10
34,26,8,30,0.85,10
10,34,24,22,0.97,10
14,30,16,22,0.88,10
30,14,16,22,0.94,10
34,10,24,22,0.96,10
18,22,4,20,0.79,10
22,26,4,24,0.73,10
30,34,4,32,0.88,10
14,10,4,12,0.94,10
22,18,4,20,0.8,10
26,22,4,24,0.68,10
10,18,8,14,0.86,10
14,22,8,18,0.91,10
18,26,8,22,0.95,10
24,32,8,28,0.97,10
30,38,8,34,0.94,10
34,44,10,39,0.98,10
10,6,4,8,0.97,10
14,8,6,11,0.97,10
18,10,8,14,0.97,10
24,16,8,20,0.92,10
30,22,8,26,0.85,10
34,26,8,30,0.81,10
6,10,4,8,0.93,10
8,14,6,11,0.85,10
10,18,8,14,0.78,10
14,22,8,18,0.87,10
20,30,10,25,0.96,10
20,28,8,24,0.93,10
20,26,6,23,0.85,10
20,24,4,22,0.76,10
20,22,2,21,0.58,10
20,20,0,20,0.54,10
20,18,2,19,0.67,10
20,16,4,18,0.74,10
20,14,6,17,0.95,10
20,12,8,16,0.97,10
20,10,10,15,0.98,10
26,18,8,22,0.89,10
30,22,8,26,0.96,10
34,26,8,30,0.92,10
40,30,10,35,0.94,10
