"a","b","abs_diff","mean_ab","response","N"
18,10,8,14,0.87,1050
22,14,8,18,0.91,1050
10,18,8,14,0.8,1050
27,19,8,23,0.9,1050
14,22,8,18,0.85,1050
31,23,8,27,0.88,1050
19,27,8,23,0.88,1050
36,28,8,32,0.84,1050
23,31,8,27,0.89,1050
28,36,8,32,0.88,1050
16,10,6,13,0.74,84
18,10,8,14,0.83,84
20,10,10,15,0.93,84
25,15,10,20,0.92,84
10,18,8,14,0.88,84
10,20,10,15,0.93,84
12,20,8,16,0.88,84
14,20,6,17,0.83,84
16,20,4,18,0.81,84
18,20,2,19,0.6,84
22,20,2,21,0.7,84
24,20,4,22,0.79,84
26,20,6,23,0.85,84
28,20,8,24,0.9,84
30,20,10,25,0.94,84
30,22,8,26,0.93,84
15,25,10,20,0.97,84
20,26,6,23,0.91,84
22,26,4,24,0.81,84
24,26,2,25,0.65,84
