"a","b","abs_diff","mean_ab","response","N"
30,10,20,20,0.63855421686747,166
30,15,15,22.5,0.652941176470588,170
30,20,10,25,0.690909090909091,165
30,25,5,27.5,0.655913978494624,186
30,27,3,28.5,0.693023255813954,215
30,28,2,29,0.710280373831776,214
30,29,1,29.5,0.746478873239437,213
30,31,1,30.5,0.744939271255061,247
30,32,2,31,0.713692946058091,241
30,33,3,31.5,0.666666666666667,225
30,35,5,32.5,0.566523605150215,233
30,40,10,35,0.634831460674157,178
30,50,20,40,0.683870967741935,155
30,60,30,45,0.709459459459459,148
30,10,20,20,0.275862068965517,87
30,15,15,22.5,0.30379746835443,79
30,20,10,25,0.306666666666667,75
30,25,5,27.5,0.344444444444444,90
30,27,3,28.5,0.336283185840708,113
30,28,2,29,0.380952380952381,105
30,29,1,29.5,0.372881355932203,118
30,31,1,30.5,0.27027027027027,111
30,32,2,31,0.260162601626016,123
30,33,3,31.5,0.336734693877551,98
30,35,5,32.5,0.256410256410256,117
30,40,10,35,0.230088495575221,113
30,50,20,40,0.291139240506329,79
30,60,30,45,0.392857142857143,56
30,10,20,20,0.529411764705882,119
30,15,15,22.5,0.470149253731343,134
30,20,10,25,0.5,146
30,25,5,27.5,0.6328125,128
30,27,3,28.5,0.531791907514451,173
30,28,2,29,0.551515151515152,165
30,29,1,29.5,0.578680203045685,197
30,31,1,30.5,0.578034682080925,173
30,32,2,31,0.559210526315789,152
30,33,3,31.5,0.472727272727273,165
30,35,5,32.5,0.402298850574713,174
30,40,10,35,0.435714285714286,140
30,50,20,40,0.5,120
30,60,30,45,0.536363636363636,110
30,10,20,20,0.307692307692308,117
30,15,15,22.5,0.309090909090909,110
30,20,10,25,0.25,136
30,25,5,27.5,0.27972027972028,143
30,27,3,28.5,0.376712328767123,146
30,28,2,29,0.398373983739837,123
30,29,1,29.5,0.394736842105263,152
30,31,1,30.5,0.43859649122807,171
30,32,2,31,0.285714285714286,154
30,33,3,31.5,0.320610687022901,131
30,35,5,32.5,0.251497005988024,167
30,40,10,35,0.264462809917355,121
30,50,20,40,0.351648351648352,91
30,60,30,45,0.388235294117647,85
30,10,20,20,0.5,154
30,15,15,22.5,0.512658227848101,158
30,20,10,25,0.553459119496855,159
30,25,5,27.5,0.607361963190184,163
30,27,3,28.5,0.574585635359116,181
30,28,2,29,0.607329842931937,191
30,29,1,29.5,0.616438356164384,219
30,31,1,30.5,0.598214285714286,224
30,32,2,31,0.568421052631579,190
30,33,3,31.5,0.478260869565217,184
30,35,5,32.5,0.529761904761905,168
30,40,10,35,0.493333333333333,150
30,50,20,40,0.608333333333333,120
30,60,30,45,0.622950819672131,122
30,10,20,20,0.539823008849557,113
30,15,15,22.5,0.566371681415929,113
30,20,10,25,0.553719008264463,121
30,25,5,27.5,0.534351145038168,131
30,27,3,28.5,0.584905660377358,159
30,28,2,29,0.598684210526316,152
30,29,1,29.5,0.659722222222222,144
30,31,1,30.5,0.609375,192
30,32,2,31,0.529411764705882,170
30,33,3,31.5,0.529801324503311,151
30,35,5,32.5,0.5390625,128
30,40,10,35,0.529411764705882,119
30,50,20,40,0.634615384615385,104
30,60,30,45,0.637254901960784,102
30,10,20,20,0.4,65
30,15,15,22.5,0.45,60
30,20,10,25,0.385714285714286,70
30,25,5,27.5,0.508196721311475,61
30,27,3,28.5,0.459183673469388,98
30,28,2,29,0.433734939759036,83
30,29,1,29.5,0.458333333333333,96
30,31,1,30.5,0.506172839506173,81
30,32,2,31,0.382978723404255,94
30,33,3,31.5,0.351063829787234,94
30,35,5,32.5,0.392405063291139,79
30,40,10,35,0.391304347826087,69
30,50,20,40,0.440677966101695,59
30,60,30,45,0.456140350877193,57
30,10,20,20,0.261904761904762,84
30,15,15,22.5,0.298507462686567,67
30,20,10,25,0.269230769230769,78
30,25,5,27.5,0.318181818181818,88
30,27,3,28.5,0.343137254901961,102
30,28,2,29,0.330434782608696,115
30,29,1,29.5,0.351351351351351,111
30,31,1,30.5,0.27906976744186,86
30,32,2,31,0.240384615384615,104
30,33,3,31.5,0.292452830188679,106
30,35,5,32.5,0.224299065420561,107
30,40,10,35,0.263157894736842,76
30,50,20,40,0.350877192982456,57
30,60,30,45,0.38,50
30,10,20,20,0.294117647058824,68
30,15,15,22.5,0.301369863013699,73
30,20,10,25,0.275,80
30,25,5,27.5,0.267326732673267,101
30,27,3,28.5,0.325842696629214,89
30,28,2,29,0.276190476190476,105
30,29,1,29.5,0.358974358974359,117
30,31,1,30.5,0.471698113207547,106
30,32,2,31,0.354545454545455,110
30,33,3,31.5,0.357142857142857,98
30,35,5,32.5,0.285714285714286,84
30,40,10,35,0.324324324324324,74
30,50,20,40,0.343283582089552,67
30,60,30,45,0.318181818181818,66
30,10,20,20,0.605042016806723,119
30,15,15,22.5,0.648148148148148,108
30,20,10,25,0.610169491525424,118
30,25,5,27.5,0.581395348837209,129
30,27,3,28.5,0.65,140
30,28,2,29,0.657142857142857,140
30,29,1,29.5,0.604790419161677,167
30,31,1,30.5,0.660550458715596,218
30,32,2,31,0.652694610778443,167
30,33,3,31.5,0.625806451612903,155
30,35,5,32.5,0.666666666666667,114
30,40,10,35,0.657657657657658,111
30,50,20,40,0.637254901960784,102
30,60,30,45,0.660550458715596,109
30,10,20,20,0.283582089552239,67
30,15,15,22.5,0.283582089552239,67
30,20,10,25,0.232876712328767,73
30,25,5,27.5,0.22972972972973,74
30,27,3,28.5,0.193877551020408,98
30,28,2,29,0.189189189189189,111
30,29,1,29.5,0.203703703703704,108
30,31,1,30.5,0.217054263565891,129
30,32,2,31,0.25,104
30,33,3,31.5,0.321428571428571,84
30,35,5,32.5,0.24,75
30,40,10,35,0.289473684210526,76
30,50,20,40,0.285714285714286,63
30,60,30,45,0.276923076923077,65
30,10,20,20,0.736363636363636,110
30,15,15,22.5,0.652542372881356,118
30,20,10,25,0.629032258064516,124
30,25,5,27.5,0.715277777777778,144
30,27,3,28.5,0.666666666666667,171
30,28,2,29,0.693181818181818,176
30,29,1,29.5,0.684729064039409,203
30,31,1,30.5,0.622448979591837,196
30,32,2,31,0.715976331360947,169
30,33,3,31.5,0.58433734939759,166
30,35,5,32.5,0.581560283687943,141
30,40,10,35,0.641666666666667,120
30,50,20,40,0.647540983606557,122
30,60,30,45,0.7,110
30,10,20,20,0.531914893617021,94
30,15,15,22.5,0.510204081632653,98
30,20,10,25,0.462962962962963,108
30,25,5,27.5,0.485436893203884,103
30,27,3,28.5,0.485436893203884,103
30,28,2,29,0.431034482758621,116
30,29,1,29.5,0.393700787401575,127
30,31,1,30.5,0.37593984962406,133
30,32,2,31,0.390625,128
30,33,3,31.5,0.416666666666667,120
30,35,5,32.5,0.43859649122807,114
30,40,10,35,0.480769230769231,104
30,50,20,40,0.510204081632653,98
30,60,30,45,0.515463917525773,97
30,10,20,20,0.475409836065574,61
30,15,15,22.5,0.542372881355932,59
30,20,10,25,0.466666666666667,60
30,25,5,27.5,0.444444444444444,72
30,27,3,28.5,0.459459459459459,74
30,28,2,29,0.597402597402597,77
30,29,1,29.5,0.493975903614458,83
30,31,1,30.5,0.483870967741935,124
30,32,2,31,0.576470588235294,85
30,33,3,31.5,0.581081081081081,74
30,35,5,32.5,0.434210526315789,76
30,40,10,35,0.492063492063492,63
30,50,20,40,0.491803278688525,61
