"a","b","abs_diff","mean_ab","response"
270,200,70,235,1
260,200,60,230,1
200,200,0,200,1
200,200,0,200,1
200,200,0,200,0
200,200,0,200,0
230,200,30,215,1
250,200,50,225,1
200,200,0,200,1
200,200,0,200,1
250,200,50,225,1
260,200,60,230,1
270,200,70,235,1
200,200,0,200,0
200,200,0,200,1
230,200,30,215,0
200,200,0,200,1
220,200,20,210,1
200,200,0,200,1
200,200,0,200,1
220,200,20,210,0
200,200,0,200,1
200,200,0,200,0
240,200,40,220,1
200,200,0,200,0
240,200,40,220,1
210,200,10,205,1
200,200,0,200,1
200,200,0,200,1
200,200,0,200,1
200,200,0,200,0
200,200,0,200,1
200,200,0,200,1
200,200,0,200,0
200,200,0,200,1
210,200,10,205,0
230,200,30,215,0
240,200,40,220,1
200,200,0,200,0
270,200,70,235,1
200,200,0,200,0
200,200,0,200,1
220,200,20,210,1
230,200,30,215,1
200,200,0,200,0
240,200,40,220,1
200,200,0,200,1
200,200,0,200,1
270,200,70,235,1
200,200,0,200,1
200,200,0,200,1
220,200,20,210,0
200,200,0,200,0
260,200,60,230,1
200,200,0,200,0
260,200,60,230,1
200,200,0,200,1
250,200,50,225,1
200,200,0,200,1
210,200,10,205,0
200,200,0,200,1
210,200,10,205,0
250,200,50,225,1
200,200,0,200,1
200,200,0,200,1
270,200,70,235,1
270,200,70,235,1
250,200,50,225,1
200,200,0,200,1
200,200,0,200,1
200,200,0,200,1
220,200,20,210,0
220,200,20,210,0
240,200,40,220,0
240,200,40,220,0
200,200,0,200,0
210,200,10,205,0
200,200,0,200,0
200,200,0,200,1
200,200,0,200,1
200,200,0,200,0
200,200,0,200,0
230,200,30,215,1
200,200,0,200,1
260,200,60,230,1
200,200,0,200,1
200,200,0,200,1
250,200,50,225,1
230,200,30,215,1
200,200,0,200,1
200,200,0,200,1
200,200,0,200,0
210,200,10,205,0
200,200,0,200,1
200,200,0,200,0
260,200,60,230,1
200,200,0,200,1
200,200,0,200,1
220,200,20,210,1
200,200,0,200,0
200,200,0,200,1
250,200,50,225,1
220,200,20,210,1
200,200,0,200,1
210,200,10,205,0
260,200,60,230,1
200,200,0,200,1
200,200,0,200,0
200,200,0,200,0
200,200,0,200,1
210,200,10,205,1
200,200,0,200,1
270,200,70,235,1
230,200,30,215,1
270,200,70,235,1
200,200,0,200,1
230,200,30,215,1
200,200,0,200,1
200,200,0,200,1
200,200,0,200,1
250,200,50,225,1
200,200,0,200,1
240,200,40,220,1
200,200,0,200,1
260,200,60,230,1
200,200,0,200,1
240,200,40,220,1
200,200,0,200,1
200,200,0,200,1
220,200,20,210,0
210,200,10,205,0
200,200,0,200,1
200,200,0,200,1
270,200,70,235,1
200,200,0,200,1
210,200,10,205,1
230,200,30,215,0
220,200,20,210,0
200,200,0,200,1
200,200,0,200,1
260,200,60,230,0
500,400,100,450,0
440,400,40,420,0
400,400,0,400,0
400,400,0,400,0
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
460,400,60,430,0
400,400,0,400,1
500,400,100,450,0
400,400,0,400,1
420,400,20,410,0
540,400,140,470,0
400,400,0,400,0
400,400,0,400,1
400,400,0,400,1
520,400,120,460,0
440,400,40,420,0
400,400,0,400,1
400,400,0,400,1
480,400,80,440,1
520,400,120,460,0
540,400,140,470,0
400,400,0,400,1
420,400,20,410,1
400,400,0,400,0
460,400,60,430,0
400,400,0,400,1
400,400,0,400,1
400,400,0,400,0
480,400,80,440,0
460,400,60,430,0
400,400,0,400,0
500,400,100,450,0
400,400,0,400,1
400,400,0,400,1
440,400,40,420,0
520,400,120,460,0
400,400,0,400,1
400,400,0,400,0
520,400,120,460,0
440,400,40,420,0
500,400,100,450,0
400,400,0,400,0
400,400,0,400,1
540,400,140,470,0
400,400,0,400,1
420,400,20,410,0
400,400,0,400,1
540,400,140,470,0
480,400,80,440,0
400,400,0,400,1
400,400,0,400,1
420,400,20,410,0
400,400,0,400,1
400,400,0,400,1
400,400,0,400,0
400,400,0,400,1
400,400,0,400,0
480,400,80,440,0
400,400,0,400,1
400,400,0,400,1
400,400,0,400,0
460,400,60,430,0
400,400,0,400,1
480,400,80,440,0
400,400,0,400,1
420,400,20,410,0
400,400,0,400,0
500,400,100,450,0
520,400,120,460,0
400,400,0,400,0
520,400,120,460,0
400,400,0,400,1
400,400,0,400,1
420,400,20,410,0
540,400,140,470,1
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
480,400,80,440,0
460,400,60,430,1
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
400,400,0,400,0
400,400,0,400,1
540,400,140,470,0
500,400,100,450,0
440,400,40,420,0
400,400,0,400,0
460,400,60,430,1
440,400,40,420,0
400,400,0,400,1
400,400,0,400,1
500,400,100,450,1
440,400,40,420,1
400,400,0,400,1
400,400,0,400,0
480,400,80,440,1
500,400,100,450,1
400,400,0,400,0
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
520,400,120,460,0
400,400,0,400,1
540,400,140,470,0
400,400,0,400,0
420,400,20,410,0
400,400,0,400,0
440,400,40,420,0
400,400,0,400,1
400,400,0,400,1
480,400,80,440,0
400,400,0,400,0
400,400,0,400,1
400,400,0,400,0
540,400,140,470,0
400,400,0,400,1
400,400,0,400,1
460,400,60,430,0
400,400,0,400,1
520,400,120,460,0
420,400,20,410,1
460,400,60,430,0
400,400,0,400,1
400,400,0,400,0
400,400,0,400,0
460,400,60,430,0
400,400,0,400,1
400,400,0,400,0
400,400,0,400,1
400,400,0,400,0
440,400,40,420,0
540,400,140,470,0
480,400,80,440,0
440,400,40,420,0
400,400,0,400,0
400,400,0,400,0
400,400,0,400,1
400,400,0,400,0
460,400,60,430,1
480,400,80,440,0
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
520,400,120,460,0
420,400,20,410,1
500,400,100,450,0
400,400,0,400,0
540,400,140,470,0
420,400,20,410,0
400,400,0,400,1
520,400,120,460,0
500,400,100,450,0
400,400,0,400,0
400,400,0,400,0
400,400,0,400,1
420,400,20,410,0
400,400,0,400,1
400,400,0,400,0
540,400,140,470,0
400,400,0,400,1
420,400,20,410,1
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
400,400,0,400,1
460,400,60,430,0
440,400,40,420,0
400,400,0,400,1
400,400,0,400,0
500,400,100,450,1
500,400,100,450,1
400,400,0,400,1
400,400,0,400,1
440,400,40,420,0
400,400,0,400,0
540,400,140,470,1
460,400,60,430,0
400,400,0,400,1
400,400,0,400,1
520,400,120,460,1
400,400,0,400,0
520,400,120,460,1
400,400,0,400,1
480,400,80,440,0
480,400,80,440,0
400,400,0,400,1
400,400,0,400,1
520,400,120,460,0
540,400,140,470,0
400,400,0,400,1
480,400,80,440,0
400,400,0,400,1
400,400,0,400,1
440,400,40,420,1
400,400,0,400,1
500,400,100,450,0
440,400,40,420,0
400,400,0,400,0
400,400,0,400,0
460,400,60,430,0
420,400,20,410,1
