"a","b","abs_diff","mean_ab","response"
15.48,18.74,3.26,17.11,1
14.38,18.74,4.36,16.56,1
10.5,18.74,8.24,14.62,1
15.69,18.74,3.05,17.215,1
18.74,18.74,0,18.74,0
18.17,18.74,0.569999999999997,18.455,0
13.32,18.74,5.42,16.03,1
14.98,20.68,5.7,17.83,0
14.47,20.68,6.21,17.575,1
11.09,20.68,9.59,15.885,1
14.64,20.68,6.04,17.66,1
20.68,20.68,0,20.68,0
14.32,20.68,6.36,17.5,1
16.79,20.68,3.89,18.735,1
12.78,20.68,7.9,16.73,1
11.44,17.49,6.05,14.465,1
14.69,17.49,2.8,16.09,1
9.61,17.49,7.88,13.55,1
14.15,17.49,3.34,15.82,1
17.49,17.49,0,17.49,0
13.06,17.49,4.43,15.275,1
13.51,17.49,3.98,15.5,0
9.92,17.49,7.57,13.705,1
22.63,28.75,6.12,25.69,1
12.44,28.75,16.31,20.595,1
22.44,28.75,6.31,25.595,1
19.08,28.75,9.67,23.915,1
16.88,28.75,11.87,22.815,1
28.75,28.75,0,28.75,1
17.67,28.75,11.08,23.21,1
22.2,28.75,6.55,25.475,1
21.2,33,11.8,27.1,1
14.5,33,18.5,23.75,0
21,33,12,27,1
19.43,33,13.57,26.215,1
20.43,33,12.57,26.715,1
33,33,0,33,0
17.67,33,15.33,25.335,1
22.44,33,10.56,27.72,1
19.14,26.69,7.55,22.915,1
12.2,26.69,14.49,19.445,1
24.56,26.69,2.13,25.625,1
17.04,26.69,9.65,21.865,0
19.53,26.69,7.16,23.11,1
26.69,26.69,0,26.69,0
17.76,26.69,8.93,22.225,1
19.89,26.69,6.8,23.29,1
29.31,29.31,0,29.31,0
18.21,29.31,11.1,23.76,1
25.39,29.31,3.92,27.35,1
10.77,29.31,18.54,20.04,1
18.59,29.31,10.72,23.95,1
21.05,29.31,8.26,25.18,1
15.58,29.31,13.73,22.445,0
18,29.31,11.31,23.655,1
27.17,27.17,0,27.17,0
18.73,27.17,8.44,22.95,1
23.66,27.17,3.51,25.415,1
10.3,27.17,16.87,18.735,1
20.12,27.17,7.05,23.645,1
18.87,27.17,8.3,23.02,1
14.74,27.17,12.43,20.955,0
17.64,27.17,9.53,22.405,1
26.87,26.87,0,26.87,0
15.56,26.87,11.31,21.215,1
21.66,26.87,5.21,24.265,1
7.86,26.87,19.01,17.365,1
19.03,26.87,7.84,22.95,1
18.1,26.87,8.77,22.485,1
12.33,26.87,14.54,19.6,0
19.94,26.87,6.93,23.405,1
24.49,24.49,0,24.49,0
14.38,24.49,10.11,19.435,1
20.22,24.49,4.27,22.355,1
7.48,24.49,17.01,15.985,1
19.33,24.49,5.16,21.91,1
17.64,24.49,6.85,21.065,0
14.02,24.49,10.47,19.255,1
17.38,24.49,7.11,20.935,1
10.22,15,4.78,12.61,1
15,15,0,15,0
4.67,15,10.33,9.835,1
10.95,15,4.05,12.975,1
12.83,15,2.17,13.915,0
9.72,14.79,5.07,12.255,1
14.79,14.79,0,14.79,0
8.93,14.79,5.86,11.86,1
11.31,14.79,3.48,13.05,0
14.19,18.74,4.55,16.465,1
12.67,18.74,6.07,15.705,1
18.74,18.74,0,18.74,0
13.87,18.74,4.87,16.305,1
9.44,18.74,9.3,14.09,0
14.83,19.93,5.1,17.38,1
12.44,19.93,7.49,16.185,1
19.93,19.93,0,19.93,1
16.23,19.93,3.7,18.08,1
9.24,19.93,10.69,14.585,1
16.05,17.48,1.43,16.765,1
16.39,17.48,1.09,16.935,0
15.73,17.48,1.75,16.605,1
17.48,17.48,0,17.48,0
13.82,17.48,3.66,15.65,1
14.65,15.59,0.94,15.12,1
14.6,15.59,0.99,15.095,1
15.59,15.59,0,15.59,0
14.67,15.59,0.92,15.13,0
14.5,16.19,1.69,15.345,1
16.19,16.19,0,16.19,1
14.39,16.19,1.8,15.29,1
12.61,16.19,3.58,14.4,1
15.53,19.73,4.2,17.63,1
16.47,19.73,3.26,18.1,1
13.9,19.73,5.83,16.815,1
19.73,19.73,0,19.73,0
16.8,19.73,2.93,18.265,1
14.83,19.73,4.9,17.28,1
13.88,19.73,5.85,16.805,0
13.66,23.25,9.59,18.455,1
14.6,23.25,8.65,18.925,1
15.94,23.25,7.31,19.595,1
23.25,23.25,0,23.25,1
14.11,23.25,9.14,18.68,1
12.87,23.25,10.38,18.06,1
12.41,21.34,8.93,16.875,1
15.33,21.34,6.01,18.335,1
14.95,21.34,6.39,18.145,0
21.34,21.34,0,21.34,0
13.49,21.34,7.85,17.415,1
12.96,21.34,8.38,17.15,1
13.43,21,7.57,17.215,0
13.67,21,7.33,17.335,1
21,21,0,21,0
13.43,21,7.57,17.215,1
12.44,21,8.56,16.72,1
15.4,29.95,14.55,22.675,1
12.07,29.95,17.88,21.01,1
22.33,29.95,7.62,26.14,1
29.95,29.95,0,29.95,1
16.67,29.95,13.28,23.31,1
15.39,29.95,14.56,22.67,1
18.46,29.95,11.49,24.205,1
11.39,42,30.61,26.695,1
21.33,42,20.67,31.665,1
19.81,42,22.19,30.905,1
42,42,0,42,1
14.03,42,27.97,28.015,1
17.96,42,24.04,29.98,1
12.3,22.67,10.37,17.485,1
22.67,22.67,0,22.67,0
19,22.67,3.67,20.835,1
17.52,22.67,5.15,20.095,0
17.05,22.67,5.62,19.86,1
24.5,24.5,0,24.5,0
18.31,24.5,6.19,21.405,1
18,24.5,6.5,21.25,1
23,24.5,1.5,23.75,1
18.43,24.5,6.07,21.465,1
21.33,24.5,3.17,22.915,0
23,24.5,1.5,23.75,1
20.45,24.5,4.05,22.475,1
24.81,24.81,0,24.81,0
19.11,24.81,5.7,21.96,1
23.42,24.81,1.39,24.115,0
18.82,24.81,5.99,21.815,1
15.19,24.81,9.62,20,1
21.92,24.81,2.89,23.365,1
20.34,24.81,4.47,22.575,1
23.08,23.08,0,23.08,0
18.63,23.08,4.45,20.855,1
18.87,23.08,4.21,20.975,1
17.59,23.08,5.49,20.335,1
13.32,23.08,9.76,18.2,1
20.95,23.08,2.13,22.015,1
21.97,23.08,1.11,22.525,0
22.17,24,1.83,23.085,1
18.48,24,5.52,21.24,1
16.14,24,7.86,20.07,1
16,24,8,20,1
12.63,24,11.37,18.315,1
24,24,0,24,0
20.18,24,3.82,22.09,0
23.76,23.76,0,23.76,0
18.92,23.76,4.84,21.34,1
14.81,23.76,8.95,19.285,1
16.14,23.76,7.62,19.95,1
13.22,23.76,10.54,18.49,1
20.31,23.76,3.45,22.035,1
22.23,23.76,1.53,22.995,0
23.49,23.49,0,23.49,0
18.41,23.49,5.08,20.95,1
13.57,23.49,9.92,18.53,1
16.91,23.49,6.58,20.2,1
16.62,23.49,6.87,20.055,0
23.15,23.49,0.34,23.32,1
19.14,23.49,4.35,21.315,1
22.32,33.75,11.43,28.035,1
18.98,33.75,14.77,26.365,1
16.97,33.75,16.78,25.36,1
14.23,33.75,19.52,23.99,1
33.75,33.75,0,33.75,1
18.52,33.75,15.23,26.135,1
23,24.71,1.71,23.855,1
19.56,24.71,5.15,22.135,1
24.71,24.71,0,24.71,0
21,24.71,3.71,22.855,0
16.23,24.71,8.48,20.47,1
19.73,24.71,4.98,22.22,1
23.25,24.71,1.46,23.98,1
22.53,22.53,0,22.53,0
18.72,22.53,3.81,20.625,1
20.63,22.53,1.9,21.58,1
19.24,22.53,3.29,20.885,1
21.55,22.53,0.98,22.04,0
14.09,22.53,8.44,18.31,1
17.57,22.53,4.96,20.05,1
18,22.53,4.53,20.265,1
22.87,25,2.13,23.935,1
19.37,25,5.63,22.185,1
20.62,25,4.38,22.81,1
19.37,25,5.63,22.185,1
21.14,25,3.86,23.07,1
14.67,25,10.33,19.835,1
20.25,25,4.75,22.625,0
25,25,0,25,0
19.36,23.43,4.07,21.395,1
17.22,23.43,6.21,20.325,1
19.16,23.43,4.27,21.295,1
19.14,23.43,4.29,21.285,0
19.53,23.43,3.9,21.48,1
12.71,23.43,10.72,18.07,1
14.77,23.43,8.66,19.1,1
23.43,23.43,0,23.43,0
17.26,23.33,6.07,20.295,1
18.03,23.33,5.3,20.68,1
19.78,23.33,3.55,21.555,1
17.27,23.33,6.06,20.3,0
20.49,23.33,2.84,21.91,1
13.23,23.33,10.1,18.28,1
14.28,23.33,9.05,18.805,1
23.33,23.33,0,23.33,0
6,19.9,13.9,12.95,1
17.09,19.9,2.81,18.495,1
19.9,19.9,0,19.9,0
14.79,19.9,5.11,17.345,1
19.28,19.9,0.619999999999997,19.59,1
15.96,19.9,3.94,17.93,0
13.4,19.9,6.5,16.65,1
19.33,19.9,0.57,19.615,1
18.64,30.33,11.69,24.485,1
20.97,30.33,9.36,25.65,0
30.33,30.33,0,30.33,0
23.02,30.33,7.31,26.675,1
18.84,30.33,11.49,24.585,1
16.88,28.59,11.71,22.735,1
18,28.59,10.59,23.295,1
17.2,28.59,11.39,22.895,1
28.59,28.59,0,28.59,1
17.15,28.59,11.44,22.87,1
15.27,28.59,13.32,21.93,1
17.21,28.59,11.38,22.9,1
16.83,18.64,1.81,17.735,1
13.53,18.64,5.11,16.085,1
18.29,18.64,0.350000000000001,18.465,1
17.81,18.64,0.830000000000002,18.225,1
18.64,18.64,0,18.64,1
13.19,18.64,5.45,15.915,1
15.17,21.67,6.5,18.42,1
15.38,21.67,6.29,18.525,1
21.67,21.67,0,21.67,0
16.91,21.67,4.76,19.29,1
20.56,21.67,1.11,21.115,0
13.89,21.67,7.78,17.78,1
14.71,22.43,7.72,18.57,1
13.64,22.43,8.79,18.035,1
14.33,22.43,8.1,18.38,1
22.43,22.43,0,22.43,0
14.3,22.43,8.13,18.365,0
17.93,22.43,4.5,20.18,1
13.5,19.75,6.25,16.625,1
9.56,19.75,10.19,14.655,1
19.75,19.75,0,19.75,0
17.17,19.75,2.58,18.46,0
14.92,19.75,4.83,17.335,1
13.26,18.47,5.21,15.865,1
13.4,18.47,5.07,15.935,1
18.47,18.47,0,18.47,1
13.23,18.47,5.24,15.85,1
12.72,18.47,5.75,15.595,1
12,20.67,8.67,16.335,1
9.42,20.67,11.25,15.045,1
14.95,20.67,5.72,17.81,1
20.67,20.67,0,20.67,0
14.54,20.67,6.13,17.605,0
