"a","b","abs_diff","mean_ab","response"
650.16,650.16,0,650.16,0
230.08,650.16,420.08,440.12,1
189,650.16,461.16,419.58,1
203.97,650.16,446.19,427.065,1
431.02,650.16,219.14,540.59,1
327.06,650.16,323.1,488.61,0
412.92,650.16,237.24,531.54,1
1273.3,1273.3,0,1273.3,1
491.98,1273.3,781.32,882.64,1
510.14,1273.3,763.16,891.72,1
570.96,1273.3,702.34,922.13,1
827.2,1273.3,446.1,1050.25,1
758.96,1273.3,514.34,1016.13,1
638.02,1273.3,635.28,955.66,1
460.08,1273.3,813.22,866.69,1
3351.92,3351.92,0,3351.92,0
2453.23,3351.92,898.69,2902.575,1
893.73,3351.92,2458.19,2122.825,1
863.15,3351.92,2488.77,2107.535,1
3270.63,3351.92,81.2900000000004,3311.275,1
927.26,3351.92,2424.66,2139.59,1
1675.24,3351.92,1676.68,2513.58,0
1378.88,3351.92,1973.04,2365.4,1
181.04,228.96,47.92,205,1
223.92,228.96,5.03999999999999,226.44,1
201.96,228.96,27,215.46,1
228.96,228.96,0,228.96,0
135.04,228.96,93.92,182,1
115,228.96,113.96,171.98,0
159.03,228.96,69.9299999999999,193.995,1
111,228.96,117.96,169.98,1
212,290,78,251,1
290,290,0,290,1
252,290,38,271,1
272.02,290,17.98,281.01,1
143.01,290,146.99,216.505,1
66,290,224,178,1
212.04,290,77.96,251.02,1
201.96,290,88.04,245.98,1
1933.14,2112.16,179.02,2022.65,1
2000.8,2112.16,111.36,2056.48,1
2112.16,2112.16,0,2112.16,0
2078.88,2112.16,33.2799999999997,2095.52,0
703.08,2112.16,1409.08,1407.62,1
774.01,2112.16,1338.15,1443.085,1
1598.4,2112.16,513.76,1855.28,1
1233.18,2112.16,878.98,1672.67,1
381.03,855.87,474.84,618.45,1
855.87,855.87,0,855.87,0
710.92,855.87,144.95,783.395,1
764.67,855.87,91.2,810.27,1
501.93,855.87,353.94,678.9,1
442.05,855.87,413.82,648.96,1
560.88,855.87,294.99,708.375,0
396,855.87,459.87,625.935,1
624.91,1041.04,416.13,832.975,1
1030.15,1041.04,10.8899999999999,1035.595,1
1041.04,1041.04,0,1041.04,0
762.2,1041.04,278.84,901.62,1
503,1041.04,538.04,772.02,1
735.93,1041.04,305.11,888.485,1
678.04,1041.04,363,859.54,0
388.08,1041.04,652.96,714.56,1
806.1,1147.98,341.88,977.04,1
964.72,1147.98,183.26,1056.35,1
1147.98,1147.98,0,1147.98,0
550.2,1147.98,597.78,849.09,1
551.87,1147.98,596.11,849.925,1
923.1,1147.98,224.88,1035.54,1
641.16,1147.98,506.82,894.57,0
319.04,1147.98,828.94,733.51,1
906.13,1091.88,185.75,999.005,1
877.18,1091.88,214.7,984.53,1
1091.88,1091.88,0,1091.88,0
