"a","b","abs_diff","mean_ab","response","N"
2,2.385963984,0.385963984,2.192981992,0.5238095238,50
2,2.798243695,0.798243695,2.3991218475,0.6458333333,50
2,2.991225687,0.991225687,2.4956128435,0.869047619,50
2,3.499996393,1.499996393,2.7499981965,0.7767857143,50
2,3.999995191,1.999995191,2.9999975955,0.8958333333,50
2,4.499993989,2.499993989,3.2499969945,0.8125,50
2,4.999992786,2.999992786,3.499996393,0.9851190476,50
2,6.00876229,4.00876229,4.004381145,0.9136904762,50
3,3.605261702,0.605261702,3.302630851,0.5,50
3,3.789471786,0.789471786,3.394735893,0.5595238095,50
3,3.999997595,0.999997595,3.4999987975,0.7053571429,50
3,4.508768302,1.508768302,3.754384151,0.8839285714,50
3,4.999995191,1.999995191,3.9999975955,0.9404761905,50
3,5.508765897,2.508765897,4.2543829485,0.9166666667,50
3,6.008764695,3.008764695,4.5043823475,0.9642857143,50
3,7.017534199,4.017534199,5.0087670995,0.9970238095,50
4,5.499996393,1.499996393,4.7499981965,0.625,50
4,5.999995191,1.999995191,4.9999975955,0.8541666667,50
4,6.517537806,2.517537806,5.258768903,0.7976190476,50
4,7.008764695,3.008764695,5.5043823475,0.8541666667,50
4,8.017534199,4.017534199,6.0087670995,0.8154761905,50
5,6.499996393,1.499996393,5.7499981965,0.4970238095,50
5,7.017539008,2.017539008,6.008769504,0.4970238095,50
5,7.499993989,2.499993989,6.2499969945,0.6517857143,50
5,8.008764695,3.008764695,6.5043823475,0.7886904762,50
5,9.017534199,4.017534199,7.0087670995,0.7113095238,50
