"a","b","abs_diff","mean_ab","response","N"
2,2.224186208,0.224186208,2.112093104,0.4187173727,50
2,2.43820203,0.43820203,2.219101015,0.7513791172,50
2,2.625955083,0.625955083,2.3129775415,0.5706487805,50
2,2.822513888,0.822513888,2.411256944,0.8973499063,50
2,3.028702375,1.028702375,2.5143511875,0.778961462,50
2,3.516623432,1.516623432,2.758311716,0.8954123834,50
2,4.018499804,2.018499804,3.009249902,0.8160383127,50
2,4.5159733,2.5159733,3.25798665,0.9829485108,50
2,5.016613776,3.016613776,3.508306888,0.8323559893,50
2,6.015242705,4.015242705,4.0076213525,0.8783480203,50
3,3.416007415,0.416007415,3.2080037075,0.4724144368,50
3,3.617690035,0.617690035,3.3088450175,0.5943753902,50
3,3.820557054,0.820557054,3.410278527,0.7845873591,50
3,4.021261257,1.021261257,3.5106306285,0.8501670389,50
3,4.523086133,1.523086133,3.7615430665,0.7678255328,50
3,5.018345317,2.018345317,4.0091726585,0.8071360064,50
3,5.515303856,2.515303856,4.257651928,0.9443718499,50
3,6.015171899,3.015171899,4.5075859495,0.7492677966,50
3,7.013440358,4.013440358,5.006720179,0.7744877794,50
5,5.625028162,0.625028162,5.312514081,0.5172349424,50
5,5.817827786,0.817827786,5.408913893,0.6273132801,50
5,6.026385071,1.026385071,5.5131925355,0.6454268666,50
5,6.51157686,1.51157686,5.75578843,0.604603709,50
5,7.018808777,2.018808777,6.0094043885,0.8338429255,50
5,7.532039935,2.532039935,6.2660199675,0.9087883723,50
5,8.024312372,3.024312372,6.512156186,0.7759875896,50
5,9.021396433,4.021396433,7.0106982165,0.732956557,50
4,4.615939184,0.615939184,4.307969592,0.4934825848,50
4,4.827998172,0.827998172,4.413999086,0.7133817821,50
4,5.02710601,1.02710601,4.513553005,0.6869709629,50
4,5.515593519,1.515593519,4.7577967595,0.8360636743,50
4,6.019735699,2.019735699,5.0098678495,0.8872567636,50
4,6.514273944,2.514273944,5.257136972,0.8850231408,50
4,7.017592193,3.017592193,5.5087960965,0.8887372629,50
4,8.023404762,4.023404762,6.011702381,0.8486865397,50
5,7.022027254,2.022027254,6.011013627,0.5193076413,50
5,7.50819746,2.50819746,6.25409873,0.5348657573,50
5,8.014811429,3.014811429,6.5074057145,0.7284957484,50
5,9.022529336,4.022529336,7.011264668,0.798240137,50
