"a","b","abs_diff","mean_ab","response","N"
175.9834115,233,57.0165885,204.49170575,0.1979117755,50
190.5292213,233,42.4707787,211.76461065,0.111275163,50
198.5127847,233,34.4872153,215.75639235,0.113625569,50
212.8284394,233,20.1715606,222.9142197,0.259372447,50
220.9804938,233,12.0195062,226.9902469,0.2878270145,50
229.2217877,233,3.77821230000001,231.11089385,0.389385719,50
232.9733177,233,0.0266823000000045,232.98665885,0.5015348205,50
176.0704796,229,52.9295204,202.5352398,0.244906323,50
190.4567007,229,38.5432993,209.72835035,0.2392148665,50
198.5229897,229,30.4770103,213.76149485,0.2363406405,50
213.0861698,229,15.9138302,221.0430849,0.3585807455,50
220.9900474,229,8.00995259999999,224.9950237,0.402709209,50
229.2313413,229,0.231341299999997,229.11567065,0.5042679135,50
233.067334,229,4.06733399999999,231.033667,0.632080055,50
175.9139306,221,45.0860694,198.4569653,0.362404905,50
190.5420318,221,30.4579682,205.7710159,0.2653217425,50
198.4548117,221,22.5451883,209.72740585,0.4164995235,50
212.9246269,221,8.07537310000001,216.96231345,0.416027271,50
220.9149213,221,0.0850786999999968,220.95746065,0.499317405,50
229.241112,221,8.24111199999999,225.120556,0.6217610675,50
232.9077452,221,11.9077452,226.9538726,0.713025211,50
176.0020844,213,36.9979156,194.5010422,0.422454247,50
190.4721167,213,22.5278833,201.73605835,0.4245929535,50
198.4563316,213,14.5436684,205.7281658,0.4347762365,50
212.848198,213,0.151802000000004,212.924099,0.4969697135,50
221.0884062,213,8.08840620000001,217.0442031,0.585473623,50
229.4115572,213,16.4115572,221.2057786,0.6713638595,50
232.9935106,213,19.9935106,222.9967553,0.744354005,50
176.0103353,198.5,22.4896647,187.25516765,0.521670688,50
190.5596192,198.5,7.94038080000001,194.5298096,0.476809419,50
198.4619769,198.5,0.0380231000000038,198.48098845,0.5026611695,50
212.936786,198.5,14.436786,205.718393,0.5622409735,50
221.0052463,198.5,22.5052463,209.75262315,0.585476337,50
229.16794,198.5,30.66794,213.83397,0.741867894,50
233.0021957,198.5,34.5021957,215.75109785,0.8487923635,50
176.0109867,190.5,14.4890133,183.25549335,0.529503565,50
190.4786306,190.5,0.0213693999999975,190.4893153,0.502921723,50
198.4637139,190.5,7.96371389999999,194.48185695,0.5235488415,50
212.9378717,190.5,22.4378717,201.71893585,0.5752957685,50
221.0176226,190.5,30.5176226,205.7588113,0.7343009985,50
229.2563109,190.5,38.7563109,209.87815545,0.8045281955,50
233.0056697,190.5,42.5056697,211.75283485,0.890567707,50
