"a","b","abs_diff","mean_ab","response"
0.033,0.036,0.003,0.0345,0
0.039,0.036,0.003,0.0375,-0.583909423315027
0.04,0.036,0.004,0.038,8.48008749543899
0.033,0.036,0.003,0.0345,0
0.036,0.036,0,0.036,0
0.039,0.036,0.003,0.0375,0
0.035,0.036,0.000999999999999994,0.0355,-0.0414740272279716
0.036,0.036,0,0.036,-0.340329126530407
0.037,0.036,0.001,0.0365,0
0.037,0.036,0.001,0.0365,0
0.036,0.036,0,0.036,0
0.036,0.036,0,0.036,0.472221003332628
0.036,0.036,0,0.036,0
0.04,0.036,0.004,0.038,0.474355230509287
0.032,0.036,0.004,0.034,0.486401383604728
0.04,0.036,0.004,0.038,2.47279343664554
0.033,0.036,0.003,0.0345,1.21600345901182
0.036,0.036,0,0.036,0
0.033,0.036,0.003,0.0345,0
0.037,0.036,0.001,0.0365,-0.194636474438343
0.032,0.036,0.004,0.034,0.182934075645938
0.036,0.036,0,0.036,0
0.032,0.036,0.004,0.034,0.66685747777097
0.033,0.036,0.003,0.0345,0.128050397219437
0.037,0.036,0.001,0.0365,-0.064878824812781
0.032,0.036,0.004,0.034,0
0.037,0.036,0.001,0.0365,0
0.036,0.036,0,0.036,1.24842394913096
0.035,0.036,0.000999999999999994,0.0355,0
0.032,0.036,0.004,0.034,-0.065447908948155
0.033,0.036,0.003,0.0345,0.219317946080932
0.04,0.036,0.004,0.038,0
0.035,0.036,0.000999999999999994,0.0355,0.194636474438343
0.036,0.036,0,0.036,0
0.04,0.036,0.004,0.038,0
0.036,0.036,0,0.036,0
0.033,0.036,0.003,0.0345,1.26256974742727
0.04,0.036,0.004,0.038,0
0.036,0.036,0,0.036,0.879563181852475
0.032,0.036,0.004,0.034,1.47351263696003
0.035,0.036,0.000999999999999994,0.0355,0
0.036,0.036,0,0.036,0
0.039,0.036,0.003,0.0375,0
0.039,0.036,0.003,0.0375,2.54884629463074
0.035,0.036,0.000999999999999994,0.0355,0.287806895843732
0.039,0.036,0.003,0.0375,0
0.039,0.036,0.003,0.0375,0
0.032,0.036,0.004,0.034,0.322259896887245
0.038,0.036,0.002,0.037,2.22084384875946
0.037,0.036,0.001,0.0365,0
0.038,0.036,0.002,0.037,0
0.038,0.036,0.002,0.037,0.178376096272762
0.038,0.036,0.002,0.037,-0.170273021831563
0.034,0.036,0.00199999999999999,0.035,-0.170164563265204
0.038,0.036,0.002,0.037,-0.154695057513822
0.038,0.036,0.002,0.037,-0.374268939840424
0.034,0.036,0.00199999999999999,0.035,0
0.034,0.036,0.00199999999999999,0.035,0.219317946080932
0.034,0.036,0.00199999999999999,0.035,-0.718623716486756
0.034,0.036,0.00199999999999999,0.035,0.145909569224782
0.035,0.036,0.000999999999999994,0.0355,4.02852420779899
0.034,0.036,0.00199999999999999,0.035,0.287806895843732
