"a","b","abs_diff","mean_ab","response"
0.048,0.052,0.004,0.05,0
0.057,0.052,0.005,0.0545,-0.583909423315027
0.058,0.052,0.00600000000000001,0.055,8.48008749543899
0.048,0.052,0.004,0.05,0
0.052,0.052,0,0.052,0
0.057,0.052,0.005,0.0545,0
0.05,0.052,0.00199999999999999,0.051,-0.0414740272279716
0.052,0.052,0,0.052,-0.340329126530407
0.054,0.052,0.002,0.053,0
0.054,0.052,0.002,0.053,0
0.052,0.052,0,0.052,0
0.052,0.052,0,0.052,0.472221003332628
0.052,0.052,0,0.052,0
0.058,0.052,0.00600000000000001,0.055,0.474355230509287
0.046,0.052,0.006,0.049,0.486401383604728
0.058,0.052,0.00600000000000001,0.055,2.47279343664554
0.048,0.052,0.004,0.05,1.21600345901182
0.052,0.052,0,0.052,0
0.048,0.052,0.004,0.05,0
0.054,0.052,0.002,0.053,-0.194636474438343
0.046,0.052,0.006,0.049,0.182934075645938
0.052,0.052,0,0.052,0
0.046,0.052,0.006,0.049,0.66685747777097
0.048,0.052,0.004,0.05,0.128050397219437
0.054,0.052,0.002,0.053,-0.064878824812781
0.046,0.052,0.006,0.049,0
0.054,0.052,0.002,0.053,0
0.052,0.052,0,0.052,1.24842394913096
0.05,0.052,0.00199999999999999,0.051,0
0.046,0.052,0.006,0.049,-0.065447908948155
0.048,0.052,0.004,0.05,0.219317946080932
0.058,0.052,0.00600000000000001,0.055,0
0.05,0.052,0.00199999999999999,0.051,0.194636474438343
0.052,0.052,0,0.052,0
0.058,0.052,0.00600000000000001,0.055,0
0.052,0.052,0,0.052,0
0.048,0.052,0.004,0.05,1.26256974742727
0.058,0.052,0.00600000000000001,0.055,0
0.052,0.052,0,0.052,0.879563181852475
0.046,0.052,0.006,0.049,1.47351263696003
0.05,0.052,0.00199999999999999,0.051,0
0.052,0.052,0,0.052,0
0.057,0.052,0.005,0.0545,0
0.057,0.052,0.005,0.0545,2.54884629463074
0.05,0.052,0.00199999999999999,0.051,0.287806895843732
0.057,0.052,0.005,0.0545,0
0.057,0.052,0.005,0.0545,0
0.046,0.052,0.006,0.049,0.322259896887245
0.055,0.052,0.003,0.0535,2.22084384875946
0.054,0.052,0.002,0.053,0
0.055,0.052,0.003,0.0535,0
0.055,0.052,0.003,0.0535,0.178376096272762
0.055,0.052,0.003,0.0535,-0.170273021831563
0.049,0.052,0.003,0.0505,-0.170164563265204
0.055,0.052,0.003,0.0535,-0.154695057513822
0.055,0.052,0.003,0.0535,-0.374268939840424
0.049,0.052,0.003,0.0505,0
0.049,0.052,0.003,0.0505,0.219317946080932
0.049,0.052,0.003,0.0505,-0.718623716486756
0.049,0.052,0.003,0.0505,0.145909569224782
0.05,0.052,0.00199999999999999,0.051,4.02852420779899
0.049,0.052,0.003,0.0505,0.287806895843732
