"a","b","abs_diff","mean_ab","response"
0.081,0.088,0.00699999999999999,0.0845,0
0.096,0.088,0.00800000000000001,0.092,-0.583909423315027
0.099,0.088,0.011,0.0935,8.48008749543899
0.081,0.088,0.00699999999999999,0.0845,0
0.088,0.088,0,0.088,0
0.096,0.088,0.00800000000000001,0.092,0
0.085,0.088,0.00299999999999999,0.0865,-0.0414740272279716
0.088,0.088,0,0.088,-0.340329126530407
0.091,0.088,0.003,0.0895,0
0.091,0.088,0.003,0.0895,0
0.088,0.088,0,0.088,0
0.088,0.088,0,0.088,0.472221003332628
0.088,0.088,0,0.088,0
0.099,0.088,0.011,0.0935,0.474355230509287
0.079,0.088,0.00899999999999999,0.0835,0.486401383604728
0.099,0.088,0.011,0.0935,2.47279343664554
0.081,0.088,0.00699999999999999,0.0845,1.21600345901182
0.088,0.088,0,0.088,0
0.081,0.088,0.00699999999999999,0.0845,0
0.091,0.088,0.003,0.0895,-0.194636474438343
0.079,0.088,0.00899999999999999,0.0835,0.182934075645938
0.088,0.088,0,0.088,0
0.079,0.088,0.00899999999999999,0.0835,0.66685747777097
0.081,0.088,0.00699999999999999,0.0845,0.128050397219437
0.091,0.088,0.003,0.0895,-0.064878824812781
0.079,0.088,0.00899999999999999,0.0835,0
0.091,0.088,0.003,0.0895,0
0.088,0.088,0,0.088,1.24842394913096
0.085,0.088,0.00299999999999999,0.0865,0
0.079,0.088,0.00899999999999999,0.0835,-0.065447908948155
0.081,0.088,0.00699999999999999,0.0845,0.219317946080932
0.099,0.088,0.011,0.0935,0
0.085,0.088,0.00299999999999999,0.0865,0.194636474438343
0.088,0.088,0,0.088,0
0.099,0.088,0.011,0.0935,0
0.088,0.088,0,0.088,0
0.081,0.088,0.00699999999999999,0.0845,1.26256974742727
0.099,0.088,0.011,0.0935,0
0.088,0.088,0,0.088,0.879563181852475
0.079,0.088,0.00899999999999999,0.0835,1.47351263696003
0.085,0.088,0.00299999999999999,0.0865,0
0.088,0.088,0,0.088,0
0.096,0.088,0.00800000000000001,0.092,0
0.096,0.088,0.00800000000000001,0.092,2.54884629463074
0.085,0.088,0.00299999999999999,0.0865,0.287806895843732
0.096,0.088,0.00800000000000001,0.092,0
0.096,0.088,0.00800000000000001,0.092,0
0.079,0.088,0.00899999999999999,0.0835,0.322259896887245
0.093,0.088,0.005,0.0905,2.22084384875946
0.091,0.088,0.003,0.0895,0
0.093,0.088,0.005,0.0905,0
0.093,0.088,0.005,0.0905,0.178376096272762
0.093,0.088,0.005,0.0905,-0.170273021831563
0.083,0.088,0.00499999999999999,0.0855,-0.170164563265204
0.093,0.088,0.005,0.0905,-0.154695057513822
0.093,0.088,0.005,0.0905,-0.374268939840424
0.083,0.088,0.00499999999999999,0.0855,0
0.083,0.088,0.00499999999999999,0.0855,0.219317946080932
0.083,0.088,0.00499999999999999,0.0855,-0.718623716486756
0.083,0.088,0.00499999999999999,0.0855,0.145909569224782
0.085,0.088,0.00299999999999999,0.0865,4.02852420779899
0.083,0.088,0.00499999999999999,0.0855,0.287806895843732
